run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
79,user2;user5;user12,user11;user6;user3;user8,0.819047619047619,0.8833333333333333,0.06666666666666667,0.26666666666666666,0.7814814814814814,45,60,105
80,user2;user6;user7,user3;user5;user8;user11,0.7714285714285715,0.7875,0.2,0.25,0.837037037037037,45,60,105
81,user2;user6;user8,user12;user5;user7;user4,0.9809523809523809,0.9666666666666667,0.044444444444444446,0.0,0.874074074074074,45,60,105
82,user2;user6;user9,user1;user7;user12;user5,0.8285714285714286,0.8375,0.15555555555555556,0.18333333333333332,0.9529629629629629,45,60,105
83,user2;user6;user10,user7;user1;user3;user11,0.8,0.8375,0.13333333333333333,0.25,0.7918518518518518,45,60,105
84,user2;user6;user11,user5;user12;user9;user7,0.8380952380952381,0.9041666666666668,0.044444444444444446,0.25,0.9622222222222223,45,60,105
85,user2;user6;user12,user1;user10;user3;user8,0.8380952380952381,0.9041666666666667,0.044444444444444446,0.25,0.8307407407407408,45,60,105
86,user2;user7;user8,user1;user3;user12;user10,0.6476190476190476,0.8333333333333334,0.022222222222222223,0.6,0.7918518518518518,45,60,105
87,user2;user7;user9,user5;user10;user6;user4,0.5714285714285714,0.7374999999999999,0.13333333333333333,0.65,0.7611111111111112,45,60,105
88,user2;user7;user10,user12;user6;user1;user8,0.9428571428571428,0.9,0.13333333333333333,0.0,0.9885185185185186,45,60,105
89,user2;user7;user11,user12;user9;user4;user8,0.8571428571428571,0.8250000000000001,0.2,0.1,0.9299999999999999,45,60,105
90,user2;user7;user12,user8;user11;user9;user6,0.6571428571428571,0.7625000000000001,0.15555555555555556,0.48333333333333334,0.8674074074074074,45,60,105
91,user2;user8;user9,user10;user4;user5;user1,0.6952380952380952,0.8416666666666668,0.044444444444444446,0.5,0.5992592592592593,45,60,105
92,user2;user8;user10,user11;user7;user5;user4,0.8476190476190476,0.8958333333333333,0.06666666666666667,0.21666666666666667,0.8251851851851852,45,60,105
